fact_id,subject,predicate,object,truth_value,subject_short,predicate_short,object_short
http://swc2017.aksw.org/task2/dataset/3203751,http://dbpedia.org/resource/Kevin_Porter_Jr.,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Houston_Rockets,1.0,Kevin_Porter_Jr.,team,Houston_Rockets
http://swc2017.aksw.org/task2/dataset/3204695,http://dbpedia.org/resource/Victor_Oladipo,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Miami_Heat,1.0,Victor_Oladipo,team,Miami_Heat
http://swc2017.aksw.org/task2/dataset/3204794,http://dbpedia.org/resource/William_Tenn,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Immodest_Proposals,0.0,William_Tenn,team,Immodest_Proposals
http://swc2017.aksw.org/task2/dataset/3205550,http://dbpedia.org/resource/Nazr_Mohammed,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Portland_Trail_Blazers,0.0,Nazr_Mohammed,team,Portland_Trail_Blazers
http://swc2017.aksw.org/task2/dataset/3205585,http://dbpedia.org/resource/Nassir_Little,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Portland_Trail_Blazers,1.0,Nassir_Little,team,Portland_Trail_Blazers
http://swc2017.aksw.org/task2/dataset/3210127,http://dbpedia.org/resource/Chandler_Parsons,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Memphis_Grizzlies,1.0,Chandler_Parsons,team,Memphis_Grizzlies
http://swc2017.aksw.org/task2/dataset/3210146,http://dbpedia.org/resource/Kyle_Kuzma,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Washington_Wizards,1.0,Kyle_Kuzma,team,Washington_Wizards
http://swc2017.aksw.org/task2/dataset/3210287,http://dbpedia.org/resource/Jacob_Evans,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Santa_Cruz_Warriors,1.0,Jacob_Evans,team,Santa_Cruz_Warriors
http://swc2017.aksw.org/task2/dataset/3210426,http://dbpedia.org/resource/George_Hill,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Milwaukee_Bucks,1.0,George_Hill,team,Milwaukee_Bucks
http://swc2017.aksw.org/task2/dataset/3210709,http://dbpedia.org/resource/Derek_Fisher,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Boston_Celtics,0.0,Derek_Fisher,team,Boston_Celtics
http://swc2017.aksw.org/task2/dataset/3210826,http://dbpedia.org/resource/Nazr_Mohammed,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Utah_Jazz,0.0,Nazr_Mohammed,team,Utah_Jazz
http://swc2017.aksw.org/task2/dataset/3211212,http://dbpedia.org/resource/Terrance_Ferguson,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Rio_Grande_Valley_Vipers,1.0,Terrance_Ferguson,team,Rio_Grande_Valley_Vipers
http://swc2017.aksw.org/task2/dataset/3211646,http://dbpedia.org/resource/Jakob_Poeltl,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/San_Antonio_Spurs,1.0,Jakob_Poeltl,team,San_Antonio_Spurs
http://swc2017.aksw.org/task2/dataset/3211901,http://dbpedia.org/resource/Bruno_Caboclo,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/São_Paulo_FC_(basketball),1.0,Bruno_Caboclo,team,São_Paulo_FC_(basketball)
http://swc2017.aksw.org/task2/dataset/3212050,http://dbpedia.org/resource/Gerald_Green,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Miami_Heat,0.0,Gerald_Green,team,Miami_Heat
http://swc2017.aksw.org/task2/dataset/3212177,http://dbpedia.org/resource/Kwame_Brown,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Utah_Jazz,0.0,Kwame_Brown,team,Utah_Jazz
http://swc2017.aksw.org/task2/dataset/3212195,http://dbpedia.org/resource/Elie_Okobo,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Phoenix_Suns,1.0,Elie_Okobo,team,Phoenix_Suns
http://swc2017.aksw.org/task2/dataset/3212203,http://dbpedia.org/resource/Ryan_Arcidiacono,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/New_York_Knicks,1.0,Ryan_Arcidiacono,team,New_York_Knicks
http://swc2017.aksw.org/task2/dataset/3212622,http://dbpedia.org/resource/Elton_Brand,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Oklahoma_City_Thunder,0.0,Elton_Brand,team,Oklahoma_City_Thunder
http://swc2017.aksw.org/task2/dataset/3212717,http://dbpedia.org/resource/Gerald_Green,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Houston_Rockets,1.0,Gerald_Green,team,Houston_Rockets
http://swc2017.aksw.org/task2/dataset/3212726,http://dbpedia.org/resource/Dennis_Schroder,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Oklahoma_City_Thunder,1.0,Dennis_Schroder,team,Oklahoma_City_Thunder
